pu,feature,amount
1,73,1
1,76,1
1,78,1
1,80,1
1,84,1
1,87,1
1,89,1
1,91,1
1,94,1
1,96,1
1,98,1
1,100,1
1,102,1
1,104,1
1,108,1
1,111,1
1,114,1
1,117,1
1,119,1
1,122,1
1,127,1
2,73,1
2,76,1
2,78,1
2,80,1
2,84,1
2,87,1
2,89,1
2,91,1
2,94,1
2,96,1
2,98,1
2,100,1
2,102,1
2,104,1
2,108,1
2,111,1
2,114,1
2,117,1
2,119,1
2,122,1
2,127,1
3,73,1
3,76,1
3,78,1
3,80,1
3,84,1
3,87,1
3,89,1
3,91,1
3,94,1
3,96,1
3,98,1
3,100,1
3,102,1
3,104,1
3,108,1
3,111,1
3,114,1
3,117,1
3,119,1
3,122,1
3,127,1
4,73,1
4,76,1
4,78,1
4,80,1
4,84,1
4,87,1
4,89,1
4,91,1
4,94,1
4,96,1
4,98,1
4,100,1
4,102,1
4,104,1
4,108,1
4,111,1
4,114,1
4,117,1
4,119,1
4,122,1
4,127,1
5,73,1
5,76,1
5,78,1
5,80,1
5,84,1
5,87,1
5,89,1
5,91,1
5,94,1
5,96,1
5,98,1
5,100,1
5,102,1
5,104,1
5,108,1
5,111,1
5,114,1
5,117,1
5,119,1
5,122,1
5,127,1
6,73,1
6,76,1
6,78,1
6,80,1
6,84,1
6,87,1
6,89,1
6,91,1
6,94,1
6,96,1
6,98,1
6,100,1
6,102,1
6,104,1
6,108,1
6,111,1
6,114,1
6,117,1
6,119,1
6,122,1
6,127,1
7,73,1
7,76,1
7,78,1
7,80,1
7,84,1
7,87,1
7,89,1
7,91,1
7,94,1
7,96,1
7,98,1
7,100,1
7,102,1
7,104,1
7,108,1
7,111,1
7,114,1
7,117,1
7,119,1
7,122,1
7,127,1
8,73,1
8,76,1
8,78,1
8,80,1
8,84,1
8,87,1
8,89,1
8,91,1
8,94,1
8,96,1
8,98,1
8,100,1
8,102,1
8,104,1
8,108,1
8,111,1
8,114,1
8,117,1
8,119,1
8,122,1
8,127,1
9,73,1
9,76,1
9,78,1
9,80,1
9,84,1
9,87,1
9,89,1
9,91,1
9,94,1
9,96,1
9,98,1
9,100,1
9,102,1
9,104,1
9,108,1
9,111,1
9,114,1
9,117,1
9,119,1
9,122,1
9,125,1
9,127,1
10,73,1
10,76,1
10,78,1
10,80,1
10,84,1
10,87,1
10,89,1
10,91,1
10,94,1
10,96,1
10,98,1
10,100,1
10,102,1
10,104,1
10,108,1
10,111,1
10,114,1
10,117,1
10,119,1
10,122,1
10,125,1
10,127,1
11,73,1
11,76,1
11,78,1
11,80,1
11,84,1
11,87,1
11,89,1
11,91,1
11,94,1
11,96,1
11,98,1
11,100,1
11,102,1
11,104,1
11,108,1
11,111,1
11,114,1
11,117,1
11,119,1
11,122,1
11,127,1
12,73,1
12,76,1
12,78,1
12,80,1
12,84,1
12,87,1
12,89,1
12,91,1
12,94,1
12,96,1
12,98,1
12,100,1
12,102,1
12,104,1
12,108,1
12,111,1
12,114,1
12,117,1
12,119,1
12,122,1
12,125,1
12,127,1
13,73,1
13,76,1
13,78,1
13,80,1
13,84,1
13,87,1
13,89,1
13,91,1
13,94,1
13,96,1
13,98,1
13,100,1
13,102,1
13,104,1
13,108,1
13,111,1
13,114,1
13,117,1
13,119,1
13,122,1
13,127,1
14,73,1
14,76,1
14,78,1
14,80,1
14,84,1
14,87,1
14,89,1
14,91,1
14,94,1
14,96,1
14,98,1
14,100,1
14,102,1
14,104,1
14,108,1
14,111,1
14,114,1
14,117,1
14,119,1
14,122,1
14,127,1
15,73,1
15,76,1
15,78,1
15,80,1
15,84,1
15,87,1
15,89,1
15,91,1
15,94,1
15,96,1
15,98,1
15,100,1
15,102,1
15,104,1
15,108,1
15,111,1
15,114,1
15,117,1
15,119,1
15,122,1
15,125,1
15,127,1
16,73,1
16,76,1
16,78,1
16,80,1
16,84,1
16,87,1
16,89,1
16,91,1
16,94,1
16,96,1
16,98,1
16,100,1
16,102,1
16,104,1
16,108,1
16,111,1
16,114,1
16,117,1
16,119,1
16,122,1
16,127,1
17,73,1
17,76,1
17,78,1
17,80,1
17,84,1
17,87,1
17,89,1
17,91,1
17,94,1
17,96,1
17,98,1
17,100,1
17,102,1
17,104,1
17,108,1
17,111,1
17,114,1
17,117,1
17,119,1
17,122,1
17,127,1
18,73,1
18,76,1
18,78,1
18,80,1
18,84,1
18,87,1
18,89,1
18,91,1
18,94,1
18,96,1
18,98,1
18,100,1
18,102,1
18,104,1
18,108,1
18,111,1
18,114,1
18,117,1
18,119,1
18,122,1
18,125,1
18,127,1
19,73,1
19,76,1
19,78,1
19,80,1
19,84,1
19,87,1
19,89,1
19,91,1
19,94,1
19,96,1
19,98,1
19,100,1
19,102,1
19,104,1
19,108,1
19,111,1
19,114,1
19,117,1
19,119,1
19,122,1
19,125,1
19,127,1
20,73,1
20,76,1
20,78,1
20,80,1
20,84,1
20,87,1
20,89,1
20,91,1
20,94,1
20,96,1
20,98,1
20,100,1
20,102,1
20,104,1
20,108,1
20,111,1
20,114,1
20,117,1
20,119,1
20,122,1
20,125,1
20,127,1
21,73,1
21,76,1
21,78,1
21,80,1
21,84,1
21,87,1
21,89,1
21,91,1
21,94,1
21,96,1
21,98,1
21,100,1
21,102,1
21,104,1
21,108,1
21,111,1
21,114,1
21,117,1
21,119,1
21,122,1
21,125,1
21,127,1
22,73,1
22,76,1
22,78,1
22,80,1
22,84,1
22,87,1
22,89,1
22,91,1
22,94,1
22,96,1
22,98,1
22,100,1
22,102,1
22,104,1
22,108,1
22,111,1
22,114,1
22,117,1
22,119,1
22,122,1
22,127,1
23,73,1
23,76,1
23,78,1
23,80,1
23,84,1
23,87,1
23,89,1
23,91,1
23,94,1
23,96,1
23,98,1
23,100,1
23,102,1
23,104,1
23,108,1
23,111,1
23,114,1
23,117,1
23,119,1
23,122,1
23,125,1
23,127,1
24,73,1
24,76,1
24,78,1
24,80,1
24,84,1
24,87,1
24,89,1
24,91,1
24,94,1
24,96,1
24,98,1
24,100,1
24,102,1
24,104,1
24,108,1
24,111,1
24,114,1
24,117,1
24,119,1
24,122,1
24,125,1
24,127,1
25,73,1
25,76,1
25,78,1
25,80,1
25,84,1
25,87,1
25,89,1
25,91,1
25,94,1
25,96,1
25,98,1
25,100,1
25,102,1
25,104,1
25,108,1
25,111,1
25,114,1
25,117,1
25,119,1
25,122,1
25,125,1
25,127,1
26,73,1
26,76,1
26,78,1
26,80,1
26,84,1
26,87,1
26,89,1
26,91,1
26,94,1
26,96,1
26,98,1
26,100,1
26,102,1
26,104,1
26,108,1
26,111,1
26,114,1
26,117,1
26,119,1
26,122,1
26,125,1
26,127,1
27,73,1
27,76,1
27,78,1
27,80,1
27,84,1
27,87,1
27,89,1
27,91,1
27,94,1
27,96,1
27,98,1
27,100,1
27,102,1
27,104,1
27,108,1
27,111,1
27,114,1
27,117,1
27,119,1
27,122,1
27,127,1
28,73,1
28,76,1
28,78,1
28,80,1
28,84,1
28,87,1
28,89,1
28,91,1
28,94,1
28,96,1
28,98,1
28,100,1
28,102,1
28,104,1
28,108,1
28,111,1
28,114,1
28,117,1
28,119,1
28,122,1
28,125,1
28,127,1
29,73,1
29,76,1
29,78,1
29,80,1
29,84,1
29,87,1
29,89,1
29,91,1
29,94,1
29,96,1
29,98,1
29,100,1
29,102,1
29,104,1
29,108,1
29,111,1
29,114,1
29,117,1
29,119,1
29,122,1
29,127,1
30,73,1
30,76,1
30,78,1
30,80,1
30,84,1
30,87,1
30,89,1
30,91,1
30,94,1
30,96,1
30,98,1
30,100,1
30,102,1
30,104,1
30,108,1
30,111,1
30,114,1
30,117,1
30,119,1
30,122,1
30,125,1
30,127,1
31,73,1
31,76,1
31,78,1
31,80,1
31,84,1
31,87,1
31,89,1
31,91,1
31,94,1
31,96,1
31,98,1
31,100,1
31,102,1
31,104,1
31,108,1
31,111,1
31,114,1
31,117,1
31,119,1
31,122,1
31,127,1
32,73,1
32,76,1
32,78,1
32,80,1
32,84,1
32,87,1
32,89,1
32,91,1
32,94,1
32,96,1
32,98,1
32,100,1
32,102,1
32,104,1
32,108,1
32,111,1
32,114,1
32,117,1
32,119,1
32,122,1
32,127,1
33,73,1
33,76,1
33,78,1
33,80,1
33,84,1
33,87,1
33,89,1
33,91,1
33,94,1
33,96,1
33,98,1
33,100,1
33,102,1
33,104,1
33,108,1
33,111,1
33,114,1
33,117,1
33,119,1
33,122,1
33,125,1
33,127,1
34,73,1
34,76,1
34,78,1
34,80,1
34,84,1
34,87,1
34,89,1
34,91,1
34,94,1
34,96,1
34,98,1
34,100,1
34,102,1
34,104,1
34,108,1
34,111,1
34,114,1
34,117,1
34,119,1
34,122,1
34,125,1
34,127,1
35,73,1
35,76,1
35,78,1
35,80,1
35,84,1
35,87,1
35,89,1
35,91,1
35,94,1
35,96,1
35,98,1
35,100,1
35,102,1
35,104,1
35,108,1
35,111,1
35,114,1
35,117,1
35,119,1
35,122,1
35,125,1
35,127,1
36,73,1
36,76,1
36,78,1
36,80,1
36,84,1
36,87,1
36,89,1
36,91,1
36,94,1
36,96,1
36,98,1
36,100,1
36,102,1
36,104,1
36,108,1
36,111,1
36,114,1
36,117,1
36,119,1
36,122,1
36,125,1
36,127,1
37,73,1
37,76,1
37,78,1
37,80,1
37,84,1
37,87,1
37,89,1
37,91,1
37,94,1
37,96,1
37,98,1
37,100,1
37,102,1
37,104,1
37,108,1
37,111,1
37,114,1
37,117,1
37,119,1
37,122,1
37,125,1
37,127,1
38,73,1
38,76,1
38,78,1
38,80,1
38,84,1
38,87,1
38,89,1
38,91,1
38,94,1
38,96,1
38,98,1
38,100,1
38,102,1
38,104,1
38,108,1
38,111,1
38,114,1
38,117,1
38,119,1
38,122,1
38,125,1
38,127,1
39,73,1
39,76,1
39,78,1
39,80,1
39,84,1
39,87,1
39,89,1
39,91,1
39,94,1
39,96,1
39,98,1
39,100,1
39,102,1
39,104,1
39,108,1
39,111,1
39,114,1
39,117,1
39,119,1
39,122,1
39,127,1
40,73,1
40,76,1
40,78,1
40,80,1
40,84,1
40,87,1
40,89,1
40,91,1
40,94,1
40,96,1
40,98,1
40,100,1
40,102,1
40,104,1
40,108,1
40,111,1
40,114,1
40,117,1
40,119,1
40,122,1
40,125,1
40,127,1
41,73,1
41,76,1
41,78,1
41,80,1
41,84,1
41,87,1
41,89,1
41,91,1
41,94,1
41,96,1
41,98,1
41,100,1
41,102,1
41,104,1
41,108,1
41,111,1
41,114,1
41,117,1
41,119,1
41,122,1
41,127,1
42,73,1
42,76,1
42,78,1
42,80,1
42,84,1
42,87,1
42,89,1
42,91,1
42,94,1
42,96,1
42,98,1
42,100,1
42,102,1
42,104,1
42,108,1
42,111,1
42,114,1
42,117,1
42,119,1
42,122,1
42,125,1
42,127,1
43,73,1
43,76,1
43,78,1
43,80,1
43,84,1
43,87,1
43,89,1
43,91,1
43,94,1
43,96,1
43,98,1
43,100,1
43,102,1
43,104,1
43,108,1
43,111,1
43,114,1
43,117,1
43,119,1
43,122,1
43,127,1
44,73,1
44,76,1
44,78,1
44,80,1
44,84,1
44,87,1
44,89,1
44,91,1
44,94,1
44,96,1
44,98,1
44,100,1
44,102,1
44,104,1
44,108,1
44,111,1
44,114,1
44,117,1
44,119,1
44,122,1
44,125,1
44,127,1
45,73,1
45,76,1
45,78,1
45,80,1
45,84,1
45,87,1
45,89,1
45,91,1
45,94,1
45,96,1
45,98,1
45,100,1
45,102,1
45,104,1
45,108,1
45,111,1
45,114,1
45,117,1
45,119,1
45,122,1
45,125,1
45,127,1
46,73,1
46,76,1
46,78,1
46,80,1
46,84,1
46,87,1
46,89,1
46,91,1
46,94,1
46,96,1
46,98,1
46,100,1
46,102,1
46,104,1
46,108,1
46,111,1
46,114,1
46,117,1
46,119,1
46,122,1
46,125,1
46,127,1
47,73,1
47,76,1
47,78,1
47,80,1
47,84,1
47,87,1
47,89,1
47,91,1
47,94,1
47,96,1
47,98,1
47,100,1
47,102,1
47,104,1
47,108,1
47,111,1
47,114,1
47,117,1
47,119,1
47,122,1
47,125,1
47,127,1
48,73,1
48,76,1
48,78,1
48,80,1
48,84,1
48,87,1
48,89,1
48,91,1
48,94,1
48,96,1
48,98,1
48,100,1
48,102,1
48,104,1
48,108,1
48,111,1
48,114,1
48,117,1
48,119,1
48,122,1
48,125,1
48,127,1
49,73,1
49,76,1
49,78,1
49,80,1
49,84,1
49,87,1
49,89,1
49,91,1
49,94,1
49,96,1
49,98,1
49,100,1
