pu,threat,amount,action_cost,status
595,1,30.34797,1,0
596,1,38.48403,1,0
597,1,87.04037,1,0
598,1,104.73836,1,0
599,1,100.77132,1,0
600,1,180.25092,1,0
601,1,165.81236,1,0
602,1,83.5882,1,0
603,1,20.26673,1,0
604,1,14.74303,1,0
605,1,426.06644,1,0
606,1,195.24986,1,0
607,1,205.03419,1,0
608,1,5.802,1,0
609,1,13.45635,1,0
610,1,161.13728,1,0
611,1,179.73746,1,0
612,1,17.59339,1,0
613,1,29.50139,1,0
614,1,196.02175,1,0
615,1,159.30867,1,0
616,1,164.61013,1,0
617,1,235.29701,1,0
618,1,137.63533,1,0
619,1,310.5275,1,0
620,1,59.38386,1,0
621,1,179.30854,1,0
622,1,258.16012,1,0
623,1,220.1194,1,0
624,1,82.60047,1,0
625,1,51.24182,1,0
626,1,29.99564,1,0
627,1,30.81852,1,0
628,1,78.14008,1,0
629,1,65.79164,1,0
630,1,193.52259,1,0
631,1,32.94678,1,0
632,1,132.06955,1,0
633,1,34.61647,1,0
634,1,99.25293,1,0
635,1,455.00597,1,0
636,1,41.74434,1,0
637,1,383.7058,1,0
638,1,141.78591,1,0
639,1,252.37639,1,0
640,1,50.56481,1,0
641,1,27.9589,1,0
642,1,60.3967,1,0
643,1,32.68462,1,0
644,1,101.99492,1,0
645,1,58.57731,1,0
646,1,97.34376,1,0
647,1,391.8415,1,0
648,1,323.13718,1,0
649,1,292.4878,1,0
650,1,422.54913,1,0
651,1,166.40145,1,0
652,1,141.34109,1,0
653,1,276.78563,1,0
654,1,244.20416,1,0
655,1,98.7859,1,0
656,1,21.99432,1,0
657,1,46.5865,1,0
658,1,24.18122,1,0
659,1,36.59452,1,0
660,1,77.37895,1,0
661,1,35.34064,1,0
662,1,77.00905,1,0
663,1,403.39823,1,0
664,1,148.71178,1,0
665,1,364.73417,1,0
666,1,271.70661,1,0
667,1,8.96803,1,0
668,1,11.3341,1,0
669,1,214.36811,1,0
670,1,99.65979,1,0
671,1,158.25163,1,0
672,1,60.99286,1,0
673,1,120.11006,1,0
675,1,7.03117,1,0
676,1,288.30941,1,0
677,1,242.37588,1,0
678,1,30.79216,1,0
679,1,38.93574,1,0
680,1,58.47989,1,0
681,1,12.4564,1,0
682,1,31.99076,1,0
683,1,10.8029,1,0
684,1,222.21958,1,0
685,1,205.30495,1,0
686,1,287.23353,1,0
687,1,131.88383,1,0
688,1,304.37738,1,0
689,1,196.94362,1,0
690,1,45.97765,1,0
691,1,20.01189,1,0
692,1,33.27587,1,0
693,1,26.9127,1,0
694,1,27.12759,1,0
695,1,25.89627,1,0
696,1,223.80833,1,0
697,1,143.04387,1,0
698,1,238.10847,1,0
699,1,180.13142,1,0
700,1,238.64713,1,0
701,1,289.54359,1,0
702,1,199.8919,1,0
703,1,160.24273,1,0
704,1,245.7419,1,0
705,1,14.60729,1,0
706,1,9.21444,1,0
707,1,256.72187,1,0
708,1,144.97615,1,0
709,1,264.93407,1,0
711,1,119.4611,1,0
712,1,12.5839,1,0
713,1,231.00782,1,0
714,1,195.91645,1,0
715,1,218.03211,1,0
716,1,289.6102,1,0
717,1,250.04914,1,0
718,1,38.41929,1,0
719,1,39.42354,1,0
720,1,215.88609,1,0
721,1,266.04261,1,0
722,1,59.92088,1,0
723,1,64.25884,1,0
724,1,17.06648,1,0
725,1,13.27584,1,0
726,1,70.47116,1,0
727,1,76.69832,1,0
728,1,28.39113,1,0
729,1,38.33047,1,0
730,1,15.86249,1,0
731,1,30.725,1,0
732,1,40.5295,1,0
733,1,64.37931,1,0
734,1,218.72385,1,0
735,1,59.05897,1,0
736,1,32.67688,1,0
737,1,289.3376,1,0
738,1,17.17679,1,0
739,1,32.39789,1,0
740,1,291.20652,1,0
741,1,252.66648,1,0
742,1,52.50383,1,0
743,1,354.19896,1,0
744,1,242.65511,1,0
745,1,19.70962,1,0
746,1,21.13648,1,0
747,1,212.03527,1,0
748,1,55.53018,1,0
749,1,66.60356,1,0
750,1,34.58977,1,0
751,1,23.68298,1,0
752,1,86.32091,1,0
753,1,15.00498,1,0
754,1,154.31895,1,0
755,1,204.28699,1,0
756,1,57.47679,1,0
757,1,402.39255,1,0
758,1,107.94992,1,0
759,1,103.76345,1,0
760,1,380.75507,1,0
761,1,136.73244,1,0
762,1,44.0809,1,0
763,1,122.54403,1,0
764,1,283.00738,1,0
765,1,168.11626,1,0
766,1,289.72194,1,0
767,1,156.49248,1,0
768,1,96.28751,1,0
769,1,213.04382,1,0
770,1,152.4444,1,0
771,1,57.03773,1,0
772,1,127.56957,1,0
773,1,190.86097,1,0
774,1,241.33754,1,0
775,1,187.97999,1,0
776,1,88.77793,1,0
777,1,82.00533,1,0
778,1,241.33754,1,0
779,1,148.58629,1,0
780,1,262.25397,1,0
781,1,220.83283,1,0
782,1,217.41609,1,0
783,1,133.84146,1,0
784,1,53.14433,1,0
785,1,284.4722,1,0
786,1,54.24138,1,0
787,1,144.11173,1,0
788,1,358.89385,1,0
789,1,3.92305,1,0
790,1,288.17618,1,0
791,1,400.823,1,0
792,1,404.22985,1,0
793,1,418.48558,1,0
794,1,2.24194,1,0
795,1,65.81405,1,0
796,1,325.79751,1,0
797,1,296.55326,1,0
798,1,103.52588,1,0
799,1,306.34146,1,0
800,1,353.54914,1,0
801,1,255.74155,1,0
802,1,385.77518,1,0
803,1,61.9525,1,0
804,1,371.44681,1,0
805,1,334.91095,1,0
806,1,1.84923,1,0
807,1,100.29729,1,0
808,1,348.3918,1,0
809,1,4.70123,1,0
810,1,371.85252,1,0
811,1,69.74407,1,0
812,1,288.98559,1,0
813,1,19.94486,1,0
814,1,353.50745,1,0
815,1,295.34057,1,0
816,1,34.9081,1,0
817,1,77.14161,1,0
818,1,299.78448,1,0
819,1,286.3883,1,0
820,1,416.70415,1,0
821,1,338.7854,1,0
822,1,35.94651,1,0
823,1,19.90947,1,0
824,1,49.78917,1,0
825,1,67.19649,1,0
