id,name,target_recovery
1,Acanthodactylus_erythrurus,100
2,Alytes_cisternasii,100
3,Alytes_obstetricans,100
4,Anguis_fragilis,100
5,Blanus_cinereus,100
6,Bufo_spinosus,100
7,Bufo_calamita,100
8,Chalcides_bedriagai,100
9,Chalcides_striatus,100
10,Chioglossa_lusitanica,100
11,Coronella_austriaca,100
12,Coronella_girondica,100
13,Discoglossus_galganoi ,100
14,Emys_orbicularis,100
15,Hemorrhois_hippocrepis ,100
16,Hemidactylus_turcicus,100
17,Hyla_molleri,100
18,Hyla_meridionalis,100
19,Iberolacerta_cyreni,100
20,Iberolacerta_martinezricai,100
21,Iberolacerta_monticola,100
22,Lacerta_schreiberi,100
23,Lissotriton_boscai,100
24,Lissotriton_helveticus,100
25,Macroprotodon_brevis,100
26,Malpolon_monspessulanus,100
27,Mauremys_leprosa,100
28,Mesotriton_alpestris,100
29,Natrix_maura,100
30,Natrix_natrix,100
31,Pelobates_cultripes,100
32,Pelodytes_ibericus,100
33,Pelophylax_perezi,100
34,Pelodytes_punctatus,100
35,Pleurodeles_waltl,100
36,Podarcis_bocagei,100
37,Podarcis_carbonelli,100
38,Podarcis_hispanica,100
39,Podarcis_muralis,100
40,Psammodromus_algirus,100
41,Psammodromus_hispanicus ,100
42,Rana_iberica,100
43,Rhinechis_scalaris ,100
44,Salamandra_salamandra,100
45,Tarentola_mauritanica,100
46,Timon_lepidus,100
47,Triturus_marmoratus,100
48,Triturus_pygmaeus,100
49,Vipera_latastei,100
50,Barbus_comizo,100
51,Barbus_steindachneri,100
52,Achondrostoma_arcasii ,100
53,Achondrostoma_oligolepis,100
54,Cobitis_calderoni,100
55,Iberochondrostoma_lemmingi,100
56,Iberochondrostoma_lusitanicum,100
57,Parachondrostoma_miegii,100
58,Cobitis_paludica,100
59,Pseudochondrostoma_polylepis,100
60,Cobitis_vettonica,100
61,Lampetra_planeri,100
62,Squalius_alburnoides,100
63,Squalius_pyrenaicus,100
64,Squalius_castellanus,100
65,Salmo_trutta,100
66,Arnoglossus_laterna,100
67,Boops_boops,100
68,Buglossidium_luteum,100
69,Callionymus_lyra,100
70,Echiichthys_vipera,100
71,Merluccius_merluccius,100
72,Anguilla_anguilla_M,100
73,Anguilla_anguilla_E,100
74,Anguilla_anguilla_F,100
75,Argyrosomus_regius_M,100
76,Argyrosomus_regius_E,100
77,Callionymus_lyra_M,100
78,Callionymus_lyra_E,100
79,Chelidonichthys_lucerna_M,100
80,Chelidonichthys_lucerna_E,100
81,Dicologlossa_cuneata_M,100
82,Dicologlossa_cuneata_E,100
83,Dicentrarchus_labrax_M,100
84,Dicentrarchus_labrax_E,100
85,Dicentrarchus_labrax_F,100
86,Diplodus_bellottii_M,100
87,Diplodus_bellottii_E,100
88,Engraulis_encrasicolus_M,100
89,Engraulis_encrasicolus_E,100
90,Pomatoschistus_microps_M,100
91,Pomatoschistus_microps_E,100
92,Pomatoschistus_microps_F,100
93,Pomatoschistus_minutus_M,100
94,Pomatoschistus_minutus_E,100
95,Raja_undulata_M,100
96,Raja_undulata_E,100
97,Sardina_pilchardus_M,100
98,Sardina_pilchardus_E,100
99,Solea_senegalensis_M,100
100,Solea_senegalensis_E,100
101,Solea_solea_M,100
102,Solea_solea_E,100
103,Trachurus_trachurus_M,100
104,Trachurus_trachurus_E,100
105,Trisopterus_luscus_M,100
106,Trisopterus_luscus_E,100
107,Alosa_alosa_F,100
108,Alosa_alosa_E,100
109,Alosa_alosa_M,100
110,Alosa_fallax_F,100
111,Alosa_fallax_E,100
112,Alosa_fallax_M,100
113,Petromyzon_marinus_F,100
114,Petromyzon_marinus_E,100
115,Petromyzon_marinus_M,100
116,Lampetra_fluviatilis_F,100
117,Lampetra_fluviatilis_E,100
118,Liza_ramada_F,100
119,Liza_ramada_E,100
120,Liza_ramada_M,100
121,Chelon_labrosus_F,100
122,Chelon_labrosus_E,100
123,Chelon_labrosus_M,100
124,Atherina_boyeri_F,100
125,Atherina_boyeri_E,100
126,Luciobarbus_bocagei_F,100
127,Luciobarbus_bocagei_E,100
128,Delphinus_delphis_E,100
129,Delphinus_delphis_M,100
