feature,threat
1,2
2,1
2,2
3,1
3,2
4,2
5,2
6,1
6,2
7,1
7,2
8,2
9,2
10,1
10,2
11,2
12,2
13,1
13,2
14,1
14,2
15,2
16,2
17,1
17,2
18,1
18,2
19,2
20,2
21,2
22,2
23,1
23,2
24,1
24,2
25,2
26,2
27,2
28,1
28,2
29,1
29,2
30,1
30,2
31,1
31,2
32,1
32,2
33,1
33,2
34,1
34,2
35,1
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,1
42,2
43,2
44,1
44,2
45,2
46,2
47,1
47,2
48,1
48,2
49,2
50,1
50,3
51,1
51,3
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
61,3
62,1
63,1
64,1
65,1
65,3
66,1
66,3
67,1
67,4
68,1
68,4
69,1
69,4
70,1
70,4
71,1
71,4
72,1
72,3
73,1
73,3
74,1
74,3
75,1
75,3
76,1
76,3
77,1
77,4
78,1
78,4
79,1
79,4
80,1
80,4
81,1
81,4
82,1
82,4
83,1
83,3
84,1
84,3
85,1
85,3
86,1
86,4
87,1
87,4
88,1
88,4
89,1
89,4
90,1
90,3
91,1
91,3
92,1
92,3
93,1
93,3
94,1
94,3
95,1
95,4
96,1
96,4
97,1
97,4
98,1
98,4
99,1
99,4
100,1
100,4
101,1
101,4
102,1
102,4
103,1
103,4
104,1
104,4
105,1
105,4
106,1
106,4
107,1
107,3
108,1
108,3
109,1
109,3
110,1
110,3
111,1
111,3
112,1
112,3
113,1
113,3
114,1
114,3
115,1
115,3
116,1
116,3
117,1
117,3
118,1
118,3
119,1
119,3
120,1
120,3
121,1
121,3
122,1
122,3
123,1
123,3
124,1
124,3
125,1
125,3
126,1
126,3
127,1
127,3
128,1
128,5
129,1
129,5
